conversation_hash,category,annotator_hw,hw_flag,pasted_turns,evidence,reasoning,raw_last_line,prompt_tokens,completion_tokens,cached_tokens
0e0a8c347732ddf032bb0b63ce1e66be,C,0,0,[],,no signals,,0,0,0
0e8f67ad753c902dec6808ea93e48dfa,C,0,0,[],,no signals,,0,0,0
0e9829819efc32d3197cac913f59c760,C,0,0,[],,no signals,,0,0,0
0f1d0f23406fbc71607d8f503b24c34f,C,1,1,[],,no signals,,0,0,0
0f42f250e6fac903fad7236cae058882,C,0,0,[],,no signals,,0,0,0
0f53f2a795661b44fb7b62b5188176b1,A,1,1,[3],LMS / quiz artifacts: “11 more cuts in any direction.  a. 482  b. 462  c. 466  d. 444” | multiple choice: “11 more cuts in any direction.  a. 482  b. 462  c. 466  d. 444”,strong=['LMS / quiz artifacts'] medium=['multiple choice'],,0,0,0
10fcf15d7b0e42a635388ffcedc69dbc,C,0,0,[],,no signals,,0,0,0
114b4d189132f8813ef46571b6e6767f,C,0,0,[],,no signals,,0,0,0
11c140f6801e33e70b77f04a15e469af,C,0,0,[],,no signals,,0,0,0
12108313862cb11ef1d37502504b8056,C,0,0,[],,no signals,,0,0,0
12a11169e89e12696d93dcb250952fc6,C,0,0,[],,no signals,,0,0,0
12a62edb6a708c7f03f0acfe974159c7,C,0,0,[],,no signals,,0,0,0
1307ae859c29245715e14515fff13a73,A,1,1,[2],marks/points: “19 21 87 58 48 20 4 71 14 b. (10 Points) How many probes are needed if”,strong=['marks/points'] medium=[],,0,0,0
136d89c8bf5e3d17af516130b6753972,C,0,0,[],,no signals,,0,0,0
13b258fcbf9960d86b0ecf990e116023,C,0,0,[],,no signals,,0,0,0
141bb4e7662c72d9ec1f2482315311a5,C,0,0,[],,no signals,,0,0,0
152f04fdd52cc4ceff1812a8809e40de,C,0,0,[],,no signals,,0,0,0
158961270b46f827311e71c6e6648b3b,C,0,0,[],,no signals,,0,0,0
163d0f28ef49ef952f3cc99087e67a9a,A,1,1,[4],"lettered sub-parts: “2, 16.03, 16.01, 16.00, 16.07   (a) Calculate the sample average.   (b” | multiple choice: “2, 16.03, 16.01, 16.00, 16.07   (a) Calculate the sample average.   (b” | required/compute prompt: “03, 16.01, 16.00, 16.07   (a) Calculate the sample average.   (b) Calc”","strong=[] medium=['lettered sub-parts', 'multiple choice', 'required/compute prompt']",,0,0,0
17981c4a17a205d9d3766ee059f90f70,C,0,0,[],,no signals,,0,0,0
17cf685f4d24d5f80fbbabf7ce2d52be,C,0,0,[],,no signals,,0,0,0
18b2eef2c56cc67e8b05b50948632023,C,0,0,[],,no signals,,0,0,0
18d5cf38e0af842573102afc7078964d,C,0,0,[],,no signals,,0,0,0
196cbd940bb41cd3ca0f37ec0e7da0ed,C,0,0,[],,no signals,,0,0,0
19879253620267f0a46e3139def99925,C,0,0,[],,no signals,,0,0,0
19ba1d05a332c28eddf8cfe62e24eb4d,C,0,0,[],,no signals,,0,0,0
19cb2a77585a73723f913485fd919b03,C,0,0,[],,no signals,,0,0,0
1a0100c53c35967f1362406fe3d779cf,C,0,0,[],,no signals,,0,0,0
1c0520993fa2ea37fa307edb4f288080,A,0,1,"[2, 3, 4]","marks/points: “00 , lon g_ ran g e /50000)) [2 mark] (b) Create an updated plot that ” | submission logistics: “to this question. You should submit the code to answer the following q” | lettered sub-parts: “n g_ ran g e /50000)) [2 mark] (b) Create an updated plot that has dif” | multiple choice: “n g_ ran g e /50000)) [2 mark] (b) Create an updated plot that has dif” | instructor persona / directive: “are 3 parts to this question. You should submit the code to answer the” | given-data problem: “4. Please import the following dataset and then provide the code to an”","strong=['marks/points', 'submission logistics'] medium=['lettered sub-parts', 'multiple choice', 'instructor persona / directive', 'given-data problem']",,0,0,0
1c68f8749e84e6074ce1ddc24004b041,C,1,1,[],,no signals,,0,0,0
1cb63d9c94e389446b2f7cd6600e7ed9,C,0,0,[],numbered question/task: “ogram Files/ImageMagick-7.1.1-Q16-HDRI/magick.exe'})    # Function to ”,strong=[] medium=['numbered question/task'],,0,0,0
1e49d740d816cef0203537b157ecf7a3,C,0,0,[],,no signals,,0,0,0
1f5ff4283d39c2e3fd6d8d04b28076d9,C,0,0,[],,no signals,,0,0,0
2023a7cd01ba56735dfb3bdc621b44d6,C,0,0,[],,no signals,,0,0,0
20ae828f37607053899cc39425b5e3f4,C,1,1,[],,no signals,,0,0,0
20d081c3ad0c66a27eef999e8eb4232b,C,0,0,[],,no signals,,0,0,0
21063981401c6cb3b4b22cd90d9e7dea,C,1,1,[],,no signals,,0,0,0
2119d1e5fe895da51a0e882ade540919,C,0,0,[],,no signals,,0,0,0
22d1b29a7ab6ee6985ee550de4daf754,C,0,0,[],,no signals,,0,0,0
23611d55eeec94eaa9ee7740626d7527,C,0,0,[],,no signals,,0,0,0
236e2334d2a69386286aed4d83485423,C,0,0,[],,no signals,,0,0,0
242683ba8f706bf9e6bce30adb285a17,C,0,0,[],,no signals,,0,0,0
24e78dee6228d72928d035be0628e308,C,1,1,[],,no signals,,0,0,0
251e9728337f189434080719bd9fa238,C,0,0,[],,no signals,,0,0,0
2557dd9ea551ffe5f65f4b27f0b446f7,C,0,0,[],,no signals,,0,0,0
25af1e16c7c4864a2edea7e8934c5656,C,0,0,[],,no signals,,0,0,0
2663d33f652cba100fdc412b3de8d4b5,C,0,0,[],,no signals,,0,0,0
26fa87aa1fad7f4dc33c7c8b924d0de3,C,0,0,[],,no signals,,0,0,0
273213c616abf05d3718231f49c289fe,C,0,0,[],,no signals,,0,0,0
279527db70a671b914aa457cfa3485dc,C,0,0,[],,no signals,,0,0,0
27e5c38f434f2901e5fca61d991c7c45,A,1,1,[1],LMS / quiz artifacts: “These are ->a. Decision Trees b. Logistic Regression c. K-Nearest Neig” | multiple choice: “These are ->a. Decision Trees b. Logistic Regression c. K-Nearest Neig”,strong=['LMS / quiz artifacts'] medium=['multiple choice'],,0,0,0
27f89f910c2bc364afbd8b35fc411ac3,C,0,0,[],,no signals,,0,0,0
2848cb483c2313e95938136ff8d2f137,C,0,0,[],,no signals,,0,0,0
28b4f2cdfa2ead8648cbbae849924bc9,C,0,0,[],,no signals,,0,0,0
292db518ce2dce7bf94e2cda6bf8cfaf,C,0,0,[],,no signals,,0,0,0
29a6f9561a39ccebf47f9d3c924339bb,C,0,0,[],,no signals,,0,0,0
29f009044742db7faa4f4dddd61d0fa3,C,0,0,[],,no signals,,0,0,0
2a1304a57cf1a94c0d9fba10c2a85aac,C,0,0,[],,no signals,,0,0,0
2afdf133085e2eea993c780a0d82e8ee,C,0,0,[],,no signals,,0,0,0
2b92866a1ee748db621f4b4e81bd2b36,C,0,0,[],,no signals,,0,0,0
2bec2647f8f0c91397687a07a3732fb0,C,0,0,[],,no signals,,0,0,0
2d05f54d0c74cb10fcfe48b138dce542,A,0,1,[1],homework self-report: “t use Deep Learning libraries for this assignment) to productively-ope”,strong=['homework self-report'] medium=[],,0,0,0
2d3b57917f0884ee8a651c9fafc86ab5,C,0,0,[],,no signals,,0,0,0
2df8be36ab87a57db03389d09f5140d5,C,0,0,[],,no signals,,0,0,0
2e2e7664b5e4c61c9952324fa3dc0109,C,0,0,[],,no signals,,0,0,0
2efbe283ca0e0283f8b98686ff66b8a6,C,0,0,[],,no signals,,0,0,0
2f20061fe887e9daf8bf9190248aaa8e,C,0,0,[],,no signals,,0,0,0
3011d982ac1a7a2a4f3e54938c3c1d23,C,0,0,[],,no signals,,0,0,0
312e1ee33f08c92d432e251eb5b01be1,C,0,0,[],,no signals,,0,0,0
316b0a9e4f69358ab3f91b1d7bcece84,C,0,0,[],,no signals,,0,0,0
337c4f9f0e3db2e9cc07ce54e615fc9c,C,0,0,[],,no signals,,0,0,0
340dda3dc7a3a1bc0af2e01499bf0b12,C,0,0,[],,no signals,,0,0,0
34831bf02176957f4fd5ff557042eba5,C,0,0,[],,no signals,,0,0,0
34fc8aa1683ca83a4f116b9450b0280c,C,0,0,[],,no signals,,0,0,0
357dee9ae5ef8ccd5e386c5f84066c58,C,0,0,[],,no signals,,0,0,0
36500f3eb187e49facf7134ad571f4bb,C,0,0,[],,no signals,,0,0,0
36fa68ea425b482755d910fe00c33fea,C,0,0,[],,no signals,,0,0,0
375136522d8f487175b3dac129003978,C,0,0,[],,no signals,,0,0,0
37fbf43a37927efa4debefba605c9d6c,C,0,0,[],,no signals,,0,0,0
38ff2f8d4e9fe297c3ee240b680b5657,C,1,1,[],,no signals,,0,0,0
3a4f6d26352bdb7fdec04dd62549dbac,C,0,0,[],,no signals,,0,0,0
3a50f621ae32c7e18f91d304044cc120,C,0,0,[],,no signals,,0,0,0
3c2b819de2c140b853a878a1e6064fa6,C,0,0,[],,no signals,,0,0,0
3ca7a94077dce72ca2b477955e0fcc39,C,0,0,[],,no signals,,0,0,0
3d41bcc2457199c8873794aff4d1581d,C,0,0,[],,no signals,,0,0,0
3d69c0a55f22a07852addf64408ae378,C,0,0,[],,no signals,,0,0,0
3d89d0c018902a1e51ebf20fb63ec440,C,0,0,[],,no signals,,0,0,0
3e1b6e5070bf7d5e34fa5feed7d15ec3,C,0,0,[],,no signals,,0,0,0
3fbbdba47d487e8e2de8fab5a5fe7d68,C,1,1,[],pdf / latex paste artifacts: “eftmost downward position (cf Figure 1) Figure 1: Views from top to bo”,strong=[] medium=['pdf / latex paste artifacts'],,0,0,0
41513ee525925b92a208d8954d0d3a39,C,0,0,[],,no signals,,0,0,0
41a098d742303584aa1caedcf9dcd5c0,C,0,0,[],,no signals,,0,0,0
42d1344e2b18e1f0c831c47d0b66548f,C,0,0,[],,no signals,,0,0,0
43cc67cfa09cd59e30ec00191f496828,C,0,0,[],,no signals,,0,0,0
44acb2c30db0b34260406c57f4e81468,C,0,0,[],,no signals,,0,0,0
47042f7ff92f01ae413cfaeabcdb6f7e,C,0,0,[],,no signals,,0,0,0
4777e8252a7b7db71f6394dc92f0f777,C,0,0,[],numbered question/task: “eparing sequences it the slow part i dont know about the rest though”,strong=[] medium=['numbered question/task'],,0,0,0
47bcc50039a59ba34d720232f85af48b,C,0,0,[],,no signals,,0,0,0
485416fdcf72ab61a490a2079c1ba407,C,1,1,[],,no signals,,0,0,0
490480e27118edd6b30f02d52df0e56d,C,0,0,[],numbered question/task: “how to do from step 5. how will i know which are the required”,strong=[] medium=['numbered question/task'],,0,0,0
491059f720125a9bff55a6af8947a76d,A,1,1,"[3, 4, 5, 6, 7]",LMS / quiz artifacts: “is used for products that are:  A. Different and produced continuously” | required/compute prompt: “Write a Python program to find the inverses of user-generated 2×2 matr” | multiple choice: “is used for products that are:  A. Different and produced continuously”,"strong=['LMS / quiz artifacts'] medium=['required/compute prompt', 'multiple choice']",,0,0,0
49a463677d1eab6d97895b138bafd68a,C,0,0,[],,no signals,,0,0,0
49c0e8e30665cd2829f969ecbd974965,C,0,0,[],,no signals,,0,0,0
49d7525b67d1127d2bd7503716639c62,C,0,0,[],,no signals,,0,0,0
49f3abeda558e18cbf3273c501891fa4,C,0,0,[],,no signals,,0,0,0
49ffcbf8af232160e4fab10d6b196933,C,0,0,[],,no signals,,0,0,0
4a2439ad368e5f8b5083da0f930eb480,C,0,0,[],,no signals,,0,0,0
4a895a3c119af1e0f744d48fded6ad27,C,0,0,[],,no signals,,0,0,0
4a8da9bbc59c8980ff28aaeb88add68a,C,0,0,[],,no signals,,0,0,0
4ab07f7fe2857158cc6f5e20f307b8d4,C,0,0,[],,no signals,,0,0,0
4abcdc2ec5861d0ffbb42409c2528c58,C,0,0,[],course code: “CPSC 2430”,strong=[] medium=['course code'],,0,0,0
4b6e6c5c3b6f525667f839da3da7e750,C,0,0,[],,no signals,,0,0,0
4baf6815866042aee86bf81ce26dcbae,C,0,0,[],,no signals,,0,0,0
4c02182a72f932b1fc1010e05f2265b0,C,0,0,[],,no signals,,0,0,0
4c3c7b034a34d98009d921675e63bd40,C,0,0,[],multiple choice: “ubmissions afterward with the correct answer will receive an invite 🪐 ”,strong=[] medium=['multiple choice'],,0,0,0
4c42ff499a58ac7b2de9e598f36579d7,C,0,0,[],,no signals,,0,0,0
4c5d4679c94a9c99071c459febb16b86,C,0,0,[],,no signals,,0,0,0
4d4eb31ea726ca3f02d359d613e9fac0,C,0,0,[],,no signals,,0,0,0
4ec6da7e23c90fc8bfd99526a7446f17,C,0,0,[],,no signals,,0,0,0
4f35ddc87c832179c4dda5684393f200,C,1,1,[],,no signals,,0,0,0
4f97ed412506bf07203a1ff2ca999489,C,0,0,[],,no signals,,0,0,0
4fa6160a1871cbe50e340bfce69d9205,C,0,0,[],,no signals,,0,0,0
500893adb58e5692e4f1d5e519cd7609,C,0,0,[],,no signals,,0,0,0
506ebd72cf5b86c3812d7dd7ad532d98,C,0,0,[],,no signals,,0,0,0
508daf66b024fb9d2489374fd17644ba,C,1,1,[],numbered question/task: “Read the following Part I of the project I started implementing. I”,strong=[] medium=['numbered question/task'],,0,0,0
50cda5e0945af021d8541d25a1ad5d7b,C,0,0,[],,no signals,,0,0,0
51359aae5548a9d9ddb5978f35145b26,C,0,0,[],,no signals,,0,0,0
52986108142b86ad1533c26e9a58f4b9,C,0,0,[],,no signals,,0,0,0
52f10e52da4d0e169d865bfaec9f5781,C,1,1,[],,no signals,,0,0,0
530c3c086ff285218be0b2f76fbc25cd,A,1,1,[2],"homework self-report: “e time for ""+ random.choice([""homework"", ""chores"", ""fun""]) + ""!"")     ”",strong=['homework self-report'] medium=[],,0,0,0
532984c155aeb0031accccc6b692c939,C,0,0,[],,no signals,,0,0,0
533d3b0bed42279f7f1d6972c8f352a9,C,0,0,[],,no signals,,0,0,0
535274e7b40382518f8ded82e5c55ace,C,0,0,[],,no signals,,0,0,0
5355d39b0e95e615be7f4771d1d57324,C,0,0,[],,no signals,,0,0,0
5394def98a50bed8994398254848032c,C,1,1,[],,no signals,,0,0,0
539511400908cc1aa3f3decbec1b2279,C,0,0,[],,no signals,,0,0,0
53c2cd01533def421ef889e24bfa5ea1,C,0,0,[],,no signals,,0,0,0
54f8b709667d7fba9f5c699c7f411eb6,C,0,0,[],,no signals,,0,0,0
56a5351e49be0dab8fc7a3daf9ffc8ae,C,0,0,[],,no signals,,0,0,0
575ea5346a40960a7532a5ccf3dac0c7,C,0,0,[],,no signals,,0,0,0
5870653a5436c8182f606a9474314784,C,0,0,[],,no signals,,0,0,0
58a72d57f1075cf159d7634fbb72e5c1,C,0,0,[],,no signals,,0,0,0
58d79aa8ed32418be2868af2d5b538a2,C,0,0,[],,no signals,,0,0,0
59f755416106ba62a182a6ea4af71e86,A,1,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11]",LMS / quiz artifacts: “rgy  leaving (Eout) will ____. a) decrease; decreaseb) decrease; incre” | marks/points: “5. (12 points) Projection of climate change and Mitiga” | lettered sub-parts: “rgy  leaving (Eout) will ____. a) decrease; decreaseb) decrease; incre” | multiple choice: “rgy  leaving (Eout) will ____. a) decrease; decreaseb) decrease; incre”,"strong=['LMS / quiz artifacts', 'marks/points'] medium=['lettered sub-parts', 'multiple choice']",,0,0,0
5c25f96b15e195b84009e358bdd440c1,C,0,0,[],,no signals,,0,0,0
5ce1546ffe9328c0d580698398d303db,C,0,0,[],,no signals,,0,0,0
5d24f47d93c6f7a1f02a26c2ac7b721e,C,0,0,[],,no signals,,0,0,0
5d578f69c0bbd5edd440f1ee2f0c728d,A,0,1,[1],marks/points: “emoving some of these words. [20 marks]” | homework self-report: “ty student and you were given this assignment and have access to the d” | numbered question/task: “ions to the highest ability:  Q2. Taking those reviews with a score of”,"strong=['marks/points', 'homework self-report'] medium=['numbered question/task']",,0,0,0
5d74b91ba41927f0de9e857bb473da33,C,0,0,[],,no signals,,0,0,0
5d79aabc70608fcbf2a2911b7b77be44,C,0,0,[],,no signals,,0,0,0
5f073fd0ee63fd4312c80dfbccf4b6da,C,0,0,[],,no signals,,0,0,0
5f092ba7f17c5557bb5d76d500f4a039,C,0,0,[],,no signals,,0,0,0
5fafa7fae07f1c704608ae95dfd22eb9,C,0,0,[],,no signals,,0,0,0
5fb1b08cf83e6dffe37aacd486bb885b,C,0,0,[],,no signals,,0,0,0
61041b2ac6e5b38bc0e76dc045d388c8,C,0,0,[],numbered question/task: “oblems like above or only the problem 1. The next sections will discus”,strong=[] medium=['numbered question/task'],,0,0,0
6124fbbd3dc19ef0dd48371fb6ef945b,C,0,0,[],,no signals,,0,0,0
6271799d53a8e9ac70c624b733ef8344,C,0,0,[],,no signals,,0,0,0
62beca065167d8e53f10b20fd00e4c3a,C,0,0,[],,no signals,,0,0,0
62d3af5995644516af6e807acd47b5eb,C,1,1,[],multiple choice: “1/2   02   00   01  Give me correct answer”,strong=[] medium=['multiple choice'],,0,0,0
62dba7dd2085668177bae4b71f606613,C,0,0,[],,no signals,,0,0,0
63252010991e7932673f66cf6dad2ad1,A,1,1,"[2, 3, 6, 10]",starter code / courseware: “the Gaussian Blur kernel.     # Write your code here (Preferably use t”,strong=['starter code / courseware'] medium=[],,0,0,0
6422e0dad8988e3d7663e344f6f29620,C,0,0,[],,no signals,,0,0,0
6562a63cd31a9c59f6d67465ecf00992,C,0,0,[],,no signals,,0,0,0
65b7bdb6ea3a9be9e2001e855997884a,C,0,0,[],,no signals,,0,0,0
662913228db6abf6dd735189b81b0ba0,C,0,0,[],,no signals,,0,0,0
667e3273831876eab9c06974833fcb1e,C,0,0,[],,no signals,,0,0,0
67149c60871b5eabc0ef5bfd2c0c55fb,C,0,0,[],,no signals,,0,0,0
673d045f441ad03422b93f9f5e1dcd68,C,0,0,[],,no signals,,0,0,0
67826e772426a502461b088f09b71e43,C,0,0,[],,no signals,,0,0,0
6848920e7cec6a414b4e2a2642166d30,C,0,0,[],,no signals,,0,0,0
68889b23ff57e33baf8ff2bafec7b949,C,0,0,[],,no signals,,0,0,0
69678a04112c2134da93a7d4b04723f1,C,1,1,[],,no signals,,0,0,0
69f8223411120c97e23f844c8a3ca1f4,A,1,1,[1],teaching context: “I am writing a lab report on how viscocsity changes with temperat”,strong=['teaching context'] medium=[],,0,0,0
6b40ff1a0d4ccfe6874d09561875ae3f,C,0,0,[],,no signals,,0,0,0
6c06ad05a0dce94b9b649645a46f9406,C,0,0,[],,no signals,,0,0,0
6c105ebd9c674204dd4fc00d28892dec,C,0,0,[],,no signals,,0,0,0
6dcc32ed1cae1ad9f290f815b6fa0385,C,0,0,[],"numbered question/task: “we write something like:    # Part 1: ui ----     ""Hello, world!"",  # ”",strong=[] medium=['numbered question/task'],,0,0,0
6e5865feb3d37e88eb6ca9148ab5d568,C,0,0,[],,no signals,,0,0,0
6e5b53f4731cde36348983b8e771f6a7,C,0,0,[],,no signals,,0,0,0
6f806c2853f04d87b2806777fc61e2b0,A,1,1,"[5, 6]",submission logistics: “what is the requirements to submit to venture capital” | multiple choice: “should be based  on graphic)  c. Advantages of integrating big data mi” | instructor persona / directive: “upply chain management (SCM). You are required to prepare ONE infograp”,"strong=['submission logistics'] medium=['multiple choice', 'instructor persona / directive']",,0,0,0
6fb455c7f0cc4f12f87e1c6e2e40a224,C,0,0,[],,no signals,,0,0,0
6fe277d8d672f55f42426df4cef5c8c6,C,0,0,[],,no signals,,0,0,0
703db2508051fff9e1fb1df4e95260b7,C,0,0,[],,no signals,,0,0,0
71f7e582a008b070eadd8cc8ae322835,A,0,1,[2],submission logistics: “ascript. Test the code before submitting it if you can.”,strong=['submission logistics'] medium=[],,0,0,0
728178d177253cc859d3236c152d133b,C,0,0,[],,no signals,,0,0,0
73466cdd0f8ebfb6de01ac87e46ed01c,C,0,0,[],,no signals,,0,0,0
73a149c6bbf5834e0bff57a52493f354,C,0,0,[],,no signals,,0,0,0
73f0ea2cc0a886a1592c19cb14a5240e,C,1,1,[],instructor persona / directive: “You are asked to answer the corresponding questions:”,strong=[] medium=['instructor persona / directive'],,0,0,0
74318714d8ef48bbbb4f160dd854a812,C,0,0,[],,no signals,,0,0,0
74a4ef557590cc1189d5e05856d81c45,C,0,0,[],,no signals,,0,0,0
74e2ca50ddd0973090535f18c993ae47,C,0,0,[],,no signals,,0,0,0
7511706328f5b85e723b3401cd929011,A,1,1,"[1, 8, 13]",LMS / quiz artifacts: “lem during Jesus’ time because    	a.	 Roman soldiers felt left out of” | multiple choice: “lem during Jesus’ time because    	a.	 Roman soldiers felt left out of”,strong=['LMS / quiz artifacts'] medium=['multiple choice'],,0,0,0
76b6afebf4a087d803eab3dd5d50099a,C,1,1,[],,no signals,,0,0,0
76c8c5bdf305cfb7b6edbb703a110c20,C,0,0,[],,no signals,,0,0,0
76ed6929d97c79e7159843f929ecd250,C,0,0,[],multiple choice: “is A[0][0:2] the correct answer?”,strong=[] medium=['multiple choice'],,0,0,0
7749be02f16a1ad7806aa1ca574d106c,C,0,0,[],,no signals,,0,0,0
7882cd3ce64f501e0fe91f65e5e68189,C,0,0,[],,no signals,,0,0,0
7938a1e1d33e4cdfc19fe2393f796934,A,1,1,"[1, 3, 4, 6]",submission logistics: “Ensure clarity and coherence. Submit the document as per the specified” | marks/points: “answer in a topology diagram. (4 Marks)” | numbered question/task: “ting similar steps in Azure:  Step 1: Create a Virtual Network (VNet) ” | required/compute prompt: “Question: 2.	Given that you will add a Web server”,"strong=['submission logistics', 'marks/points'] medium=['numbered question/task', 'required/compute prompt']",,0,0,0
79651eacd732a7300447e35cd372fe4d,C,0,0,[],,no signals,,0,0,0
79c2a8b859c94f584154628f06cae7f6,C,1,1,[],,no signals,,0,0,0
79fcd2bbb8fbc36c9d7a93e08e378cca,C,1,1,[],,no signals,,0,0,0
7a3c784055541933ddc9777aca3e360c,C,1,1,[],,no signals,,0,0,0
7a457ac27a006a467135657d1245c515,C,0,0,[],,no signals,,0,0,0
7a858807f7d0f1aafebe1aae8063150b,C,0,0,[],,no signals,,0,0,0
7a97ebcbb78034a9935df489115f4481,C,0,0,[],,no signals,,0,0,0
7ac0511a5d28534d8585d16e071392b7,C,0,0,[],,no signals,,0,0,0
7aeef5d90e7bc2b35a2000837664fb0b,C,0,0,[],,no signals,,0,0,0
7afc5fd22f15458b6631a550f6fb5539,C,0,0,[],,no signals,,0,0,0
7b21f21284f1ebcce84f34c65e5bda81,C,0,0,[],,no signals,,0,0,0
7c435e46af4fbe4562d374c44fc63c1c,C,0,0,[],,no signals,,0,0,0
7cddcab296bc1f9d70412e4ae920918e,C,0,0,[],,no signals,,0,0,0
7f8d366b5b402d7d01bea861b499ab47,A,0,1,[5],"submission logistics: “When you are finished, click  Submit to turn in your work and move on.”",strong=['submission logistics'] medium=[],,0,0,0
8025a29d5dbf6ea2d5e8d0de0ef7c70d,C,0,0,[],,no signals,,0,0,0
804c4f6ed46db412d80b23555989b0e7,C,0,0,[],,no signals,,0,0,0
8058eb362a70551b590efbfbf63e453c,C,1,1,[],multiple choice: “lt of this expression. Either true or false Please explain how you got”,strong=[] medium=['multiple choice'],,0,0,0
80d69c566b907314d7d34b1e04c536a1,A,1,1,[1],lettered sub-parts: “tandard deviation of 40 hours. (a) Find the probability the bulb burns” | multiple choice: “tandard deviation of 40 hours. (a) Find the probability the bulb burns” | required/compute prompt: “rd deviation of 40 hours. (a) Find the probability the bulb burns betw”,"strong=[] medium=['lettered sub-parts', 'multiple choice', 'required/compute prompt']",,0,0,0
813fcf50f9620eacefac02c9c2a8c358,C,1,1,[],,no signals,,0,0,0
8587a84fdba202e0f4602cad2028c38a,C,0,0,[],instructor persona / directive: “know that you are interested in this project and would request to have”,strong=[] medium=['instructor persona / directive'],,0,0,0
86664deba506e7e367175918ddd581e1,C,0,0,[],,no signals,,0,0,0
8690acf4233cf39cb02caf31beb850d7,C,0,0,[],,no signals,,0,0,0
875f6c094e85af6c6195b752379935ca,C,0,0,[],,no signals,,0,0,0
8774675e99cda046000446e0f7c5bd41,C,0,0,[],,no signals,,0,0,0
882c4eb3b8849b86f115deff47617c09,C,0,0,[],,no signals,,0,0,0
88cba185f6b6aed9b98877d27f4900c9,C,0,0,[],,no signals,,0,0,0
8a372510429c2beafbd97e1565f781a1,C,0,0,[],,no signals,,0,0,0
8af8871377e20f780a361febe0fe80a4,C,0,0,[],,no signals,,0,0,0
8b375be63cd5be4bd955df3f962445f1,A,0,1,[8],LMS / quiz artifacts: “Time left 0:10:31 Question 12 Not yet answered Mark” | numbered question/task: “Time left 0:10:31 Question 12 Not yet answered Marked out of 1.00 Flag”,strong=['LMS / quiz artifacts'] medium=['numbered question/task'],,0,0,0
8b7d0261b2a469aa01067aa9ccd56531,C,0,0,[],,no signals,,0,0,0
8c1379f402a6796c0840e555a22b8ebe,C,0,0,[],,no signals,,0,0,0
8c71ce34ad4382441ab4a2c50f6a631d,A,0,1,[1],submission logistics: “istration Keep mail.tm active Submit the form on plesk.com Once the co”,strong=['submission logistics'] medium=[],,0,0,0
8cbcbd325e6bc9ecc6385372993dc2ba,A,1,1,[1],"homework self-report: “s not formally a prerequisite for this course, it is very much allowed” | numbered question/task: “-size k 2 [0, 1]. Go back to step 1 and repeat the procedure. With a ”",strong=['homework self-report'] medium=['numbered question/task'],,0,0,0
8cfba19c31e7fa7a1a3bdf60c916a7e8,C,0,0,[],,no signals,,0,0,0
8dd3133bf4fa2072b0813c6eef15d1df,C,0,0,[],,no signals,,0,0,0
